Consultant;YES_RESPONSIBILITY
You 're shit out of luck;NO_CODE
Technical Lead;WHILE_CODE
Programmer;YES_CODE
Creative Director;YES_GRANDVISION
Producer;NO_HAVEMONEY
Social Games Studio Head;NO_CONSCIENCE
Studio Head;YES_CONSCIENCE
Game Critic;YES_BITTER
Game Reviewer;NO_BITTER
Marketer;NAH_IDEAS
Social Games Studio Employee;NO_GAMES_IMPORTANT
Indie Developer;YES_GAMESINDIE
Blogger;YES_GRAMMAR
Gamer;NO_GAMESPLAYING/NO_ASIA
Starcraft Cyberathlete;YES_KOREA
Gold Farmer;YES_CHINA
Art Director;NO_PREFERWORKING
Animator;YES_SPENDWEEKSONSECONDS
3d Artist;NO_SPENDWEEKSONSECONDS
Concept Artist;YES_ASIAN
Comic Artist;YES_FRENCH
2d Artist;NO_ENJOYCRATES
Environmental Artist;YES_ENJOYCRATES
Level Designer;YES_WORKUNFINISHEDTOOLS
Writer;NO_SPEAKSPREADSHEET
Lead Game Designer;NO_TOLDWHATTODO
Event Scripter;NO_OBSESSOVERDETAIL
Game Designer;NO_FIXIATIONGOREBLOOD
Combat Designer;YES_FIXIATIONGOREBLOOD
Office IT;NO_MUSICAL
Composer;NO_BLOWTHINGS
Sound designer;YES_BLOWTHINGS
Quality Assurance;YES_MINDERRORS
Voice Actor;YES_CELEBRITY
Motion Capture Actor;NO_YOUNGHOT
Military Shooter Packaging Model;YES_MALE
Cosplayer;YES_ARTSCRAFTS
Booth Babe;NO_ARTSCRAFTS
Guild Leader;YES_CHOSEWHOHANGOUT
Community Manager;NO_CHOSEWHOHANGOUT
